Key,Source,Context,Changes,English,French,German,Klingon,Spanish
txName_Texture001,painting,txGroupFaux,New,"Brick and Stone - Small - Dark Red",,,,
txName_Texture002,painting,txGroupFaux,New,"Brick and Stone - Medium - White",,,,
txName_Texture003,painting,txGroupFaux,New,"Tile - Large - Brown",,,,
txName_Texture004,painting,txGroupFaux,New,"Brick and Stone - Very Large - Tan-White",,,,
txName_Texture005,painting,txGroupFaux,New,"Brick and Stone - Gravel",,,,
txName_Texture006,painting,txGroupFaux,New,"Brick and Stone - Large - Dark Grey",,,,
txName_Texture007,painting,txGroupFaux,New,"Awning - Red",,,,
txName_Texture008,painting,txGroupFaux,New,"Awning - Creme",,,,
txName_Texture009,painting,txGroupFaux,New,"Awning - Light Grey",,,,
txName_Texture010,painting,txGroupFaux,New,"Deco - Trunk End",,,,
txName_Texture011,painting,txGroupFaux,New,"Timber - Fresh Sawn",,,,
txName_Texture012,painting,txGroupFaux,New,"Timber - Panel - Wooden",,,,
txName_Texture013,painting,txGroupFaux,New,"Deco - Gravestone",,,,
txName_Texture014,painting,txGroupFaux,New,"Resource - Shelved Bottles",,,,
txName_Texture015,painting,txGroupFaux,New,"Brick and Stone - Medium - Cobblestone",,,,
txName_Texture016,painting,txGroupFaux,New,"Timber - Logs",,,,
txName_Texture017,painting,txGroupFaux,New,"Roof - Timber - Shingles",,,,
txName_Texture018,painting,txGroupFaux,New,"Metal - Dark - Rivets",,,,
txName_Texture019,painting,txGroupFaux,New,"Plank - Blue",,,,
txName_Texture020,painting,txGroupFaux,New,"Plank - Wethered",,,,
txName_Texture021,painting,txGroupFaux,New,"Plank - White - Old",,,,
txName_Texture022,painting,txGroupFaux,New,"Plank - Yellow - Old",,,,
txName_Texture023,painting,txGroupFaux,New,"Timber - White - Plywood",,,,
txName_Texture024,painting,txGroupFaux,New,"Plaster - White",,,,
txName_Texture025,painting,txGroupFaux,New,"Longboard - White",,,,
txName_Texture026,painting,txGroupFaux,New,"Carpet - Green-Brown",,,,
txName_Texture027,painting,txGroupFaux,New,"Brick and Stone - Fine - Grey",,,,
txName_Texture028,painting,txGroupFaux,New,"Brick and Stone - Small - White",,,,
txName_Texture029,painting,txGroupFaux,New,"Tile - Blue-White",,,,
txName_Texture030,painting,txGroupFaux,New,"Wallpaper - Green",,,,
txName_Texture031,painting,txGroupFaux,New,"Deco - Shutters - Black",,,,
txName_Texture032,painting,txGroupFaux,New,"Timber - Particle Board",,,,
txName_Texture033,painting,txGroupFaux,New,"Resource - Shelved Books",,,,
txName_Texture034,painting,txGroupFaux,New,"Panel - Timber - White",,,,
txName_Texture035,painting,txGroupFaux,New,"Longboard - Black",,,,
txName_Texture036,painting,txGroupFaux,New,"Carpet - Brown",,,,
txName_Texture037,painting,txGroupFaux,New,"Tile - Grey-White",,,,
txName_Texture038,painting,txGroupFaux,New,"Plank - Tan - Old",,,,
txName_Texture039,painting,txGroupFaux,New,"Tile - Old",,,,
txName_Texture040,painting,txGroupFaux,New,"Cupboard - White - Drawers",,,,
txName_Texture041,painting,txGroupFaux,New,"Cupboard - White",,,,
txName_Texture042,painting,txGroupFaux,New,"Plaster - Grey",,,,
txName_Texture043,painting,txGroupFaux,New,"Timber - Bark",,,,
txName_Texture044,painting,txGroupFaux,New,"Adobe - Tan",,,,
txName_Texture045,painting,txGroupFaux,New,"Adobe - Peach",,,,
txName_Texture046,painting,txGroupFaux,New,"Roof - Tile - Orange - Clay",,,,
txName_Texture047,painting,txGroupFaux,New,"Adobe - White",,,,
txName_Texture048,painting,txGroupFaux,New,"Adobe - White - Trim",,,,
txName_Texture049,painting,txGroupFaux,New,"Drywall - Creme",,,,
txName_Texture050,painting,txGroupFaux,New,"Drywall - White - Wooden Trim",,,,
txName_Texture051,painting,txGroupFaux,New,"Drywall - Grey",,,,
txName_Texture052,painting,txGroupFaux,New,"Sigil - Protection",,,,
txName_Texture053,painting,txGroupFaux,New,"Tile - Marble",,,,
txName_Texture054,painting,txGroupFaux,New,"*BLACK*",,,,
txName_Texture055,painting,txGroupFaux,New,"Roof - Timber - Shingles - Green - Square",,,,
txName_Texture056,painting,txGroupFaux,New,"Longboard - Red",,,,
txName_Texture057,painting,txGroupFaux,New,"Brick and Stone - Medium - Grey",,,,
txName_Texture058,painting,txGroupFaux,New,"Organic - Hay",,,,
txName_Texture059,painting,txGroupFaux,New,"Timber - Redwood - Pristine",,,,
txName_Texture060,painting,txGroupFaux,New,"Drywall - Tan",,,,
txName_Texture061,painting,txGroupFaux,New,"Drywall - Tan - Baseboard",,,,
txName_Texture062,painting,txGroupFaux,New,"Organic - Thatch",,,,
txName_Texture063,painting,txGroupFaux,New,"Brick and Stone - Large - Flagstone",,,,
txName_Texture064,painting,txGroupFaux,New,"Brick and Stone - Small - Orange-Grey",,,,
txName_Texture065,painting,txGroupFaux,New,"Roof - Shingles - Dark Grey",,,,
txName_Texture066,painting,txGroupFaux,New,"Longboard - Timber",,,,
txName_Texture067,painting,txGroupFaux,New,"Plaster - White",,,,
txName_Texture068,painting,txGroupFaux,New,"Timber - Redwood - Reinforced",,,,
txName_Texture069,painting,txGroupFaux,New,"Tile - Brown - Brick",,,,
txName_Texture070,painting,txGroupFaux,New,"*Random Shit*",,,,
txName_Texture071,painting,txGroupFaux,New,"Brick and Stone - Granite - White",,,,
txName_Texture072,painting,txGroupFaux,New,"Deco - Cabinet - Ornate",,,,
txName_Texture073,painting,txGroupFaux,New,"Deco - Cabinet - Wooden",,,,
txName_Texture074,painting,txGroupFaux,New,"Deco - Archery Target",,,,
txName_Texture075,painting,txGroupFaux,New,"Supplies Crate - Building",,,,
txName_Texture077,painting,txGroupFaux,New,"Organic - Grass",,,,
txName_Texture078,painting,txGroupFaux,New,"Drywall - Tan - Wooden Trim",,,,
txName_Texture079,painting,txGroupFaux,New,"Panel - Timber - Wooden",,,,
txName_Texture081,painting,txGroupFaux,New,"Loot - Forest",,,,
txName_Texture082,painting,txGroupFaux,New,"Loot - House",,,,
txName_Texture083,painting,txGroupFaux,New,"Loot - Street",,,,
txName_Texture084,painting,txGroupFaux,New,"Loot - Yard",,,,
txName_Texture086,painting,txGroupFaux,New,"Loot - Garage",,,,
txName_Texture087,painting,txGroupFaux,New,"Supplies Crate - Medical",,,,
txName_Texture088,painting,txGroupFaux,New,"Brick and Stone - Small - Brown",,,,
txName_Texture089,painting,txGroupFaux,New,"Timber - White - Burnt",,,,
txName_Texture090,painting,txGroupFaux,New,"Longboard - Burnt",,,,
txName_Texture092,painting,txGroupFaux,New,"Metal - Red - Painted",,,,
txName_Texture093,painting,txGroupFaux,New,"Metal - White - Painted",,,,
txName_Texture095,painting,txGroupFaux,New,"Organic - Thatch",,,,
txName_Texture096,painting,txGroupFaux,New,"Tile - White - Dirty",,,,
txName_Texture098,painting,txGroupFaux,New,"Adobe - Grey - Trim",,,,
txName_Texture099,painting,txGroupFaux,New,"Brick and Stone - Rubble",,,,
txName_Texture100,painting,txGroupFaux,New,"Brick and Stone - Medium - Tan",,,,
txName_Texture101,painting,txGroupFaux,New,"Roof - Tile - Blue",,,,
txName_Texture103,painting,txGroupFaux,New,"Deco - Stone - Statue Face",,,,
txName_Texture104,painting,txGroupFaux,New,"Brick and Stone - Medium - Grey",,,,
txName_Texture105,painting,txGroupFaux,New,"Deco - Portrait - Monsterous",,,,
txName_Texture106,painting,txGroupFaux,New,"*BLACK*",,,,
txName_Texture107,painting,txGroupFaux,New,"Deco - Portrait - Friar",,,,
txName_Texture108,painting,txGroupFaux,New,"Tile - Brown",,,,
txName_Texture109,painting,txGroupFaux,New,"Deco - Portrait - Angelic",,,,
txName_Texture110,painting,txGroupFaux,New,"Panel - Metal Embossed",,,,
txName_Texture111,painting,txGroupFaux,New,"Carpet - Grey",,,,
txName_Texture112,painting,txGroupFaux,New,"Panel - Timber - New",,,,
txName_Texture116,painting,txGroupFaux,New,"Metal - Brown - Sections",,,,
txName_Texture117,painting,txGroupFaux,New,"Stone - Grey - Mottled",,,,
txName_Texture118,painting,txGroupFaux,New,"Tile - White - Large",,,,
txName_Texture122,painting,txGroupFaux,New,"Organic - Straw",,,,
txName_Texture123,painting,txGroupFaux,New,"Panel - Wooden - Reinforced",,,,
txName_Texture124,painting,txGroupFaux,New,"Panel - Wooden - Iron Banded",,,,
txName_Texture125,painting,txGroupFaux,New,"Organic - Fur Rug",,,,
txName_Texture126,painting,txGroupFaux,New,"Drywall - White - Blotched",,,,
txName_Texture127,painting,txGroupFaux,New,"Roof - Shingles - Wooden - Old",,,,
txName_Texture128,painting,txGroupFaux,New,"Panel - Dark Grey",,,,
txName_Texture129,painting,txGroupFaux,New,"Longboard - White - New",,,,
txName_Texture130,painting,txGroupFaux,New,"Panel - Wooden - Scratched",,,,
txName_Texture132,painting,txGroupFaux,New,"Panel - Glass",,,,
txName_Texture133,painting,txGroupFaux,New,"Supplies Crate - Armor",,,,
txName_Texture134,painting,txGroupFaux,New,"Supplies Crate - Tools",,,,
txName_Texture135,painting,txGroupFaux,New,"Supplies Crate - Weapons",,,,
